p_id;p_ident;p_number;p_projet;Type_publication;p_titre;p_type_com;p_speaker_invite;p_nom_conference;p_date_debut_conference;p_date_fin_conference;p_ville_conference;p_pays_conference;p_lien_conference;p_nom_journal;p_publication_journal;p_volume_journal;p_pages_journal;p_annee_publication;p_doi;p_url_bdd;p_date_soumission;p_date_notification;p_date_soumission_finale;p_nom_responsable;p_liste_auteurs;p_affiliation;p_directeur_stage;p_date_debut_stage;p_date_fin_stage;p_award;p_date_soutenance_these;p_composition_jury_these;p_etablissement_delivrant_these;p_directeur_these;p_date_debut_these;p_date_fin_these;p_nom_meeting;p_date_meeting;p_auteur;p_avec_abstract;Statut;p_actif
558;E001-9;9;E001;Communication;New Reliability Model for Power SiC MOSFET Technologies Under Static and Dynamic Gate Stress;;;ESREF 2023;02/10/2023;05/10/2023;Toulouse;France;https://esref2023.sciencesconf.org/;;;;;;;;10/03/2023;28/04/2023;02/06/2023;;M. Zerarkaa, V. Rustichellia, O. Perrotin, J.M. Reynes, D. Tremouilles, A. Serre, F. Bergeret, L. Allirand, F. Coccetti;IRT, IRT, IRT/ALTER, IRT, LAAS, IPPON, IPPON, VITESCO, IRT;;;;;;;;;;;;;536;1;Réalisé;1
559;E001-10;10;E001;Communication;A Preconditioning Methodology to Overcome Threshold-Voltage Variability Related to Bias-history for Reliability Studies of SiC power MOSFET;;;ESREF 2023;02/10/2023;05/10/2023;Toulouse;France;https://esref2023.sciencesconf.org/;;;;;;;;17/03/2023;28/04/2023;02/06/2023;;D. Hachem, D. Trémouilles, H. Hamad, J. Oliveira, O. Perrotin, J.M. Reynes H. Morel, B. Asllani, S. Azzopardi, F. Coccetti;IRT, LAAS, IRT, IRT,ALTER,IRT,AMPERE,SGI,SAFRAN,IRT;;;;;;;;;;;;;536;1;Réalisé;1
560;S002-1;1;S002;Communication;Construction d’un Questionnaire d’auto-Évaluation de la Performance de la Collaboration entre un opérateur et un système autonome (QEPC) : étude préliminaire;;;12e Colloque EPIQUE;04/07/2023;07/07/2023;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;847;1;Réalisé;1
561;S013-1;1;S013;Communication;"Atelier technique ""Idéation et émergence de projets IA Embarquée "" ";;;"Atelier technique ""Idéation et émergence de projets IA Embarquée "" ";22/03/2023;22/03/2023;Agen;France;https://www.aerospace-valley.com/agenda/atelier-technique-ideation-et-emergence-de-projets-intelligence-artificielle-embarquee;;;;;;;;;;;;;;;;;non;;;;;;;;;900;0;Réalisé;1
563;S008-2;2;S008;Communication;CarbonCGI road map to observe faint GHG source’s emissions with  high resolution observing system;;;SPIE BERLIN 2022;17/10/2022;20/10/2022;BERLIN;ALLEMAGNE;;;;;;;;;30/07/2022;12/08/2022;30/08/2022;;D. Siméoni a,e, F. Graziosi b,c, G. Broquet b , P. Kumar b , P. Ciais b , J.L. Vergely d , S. Ferron d ,  V. Khodnevych e , M. Carlavan e , B. Chétrite a , N. Tetaz a , C. Delzenne a , N. Gercio a ,  H. Boesch f , L. Vogel g , F. Mariani h , R. Windpassin;a  Thales Alenia Space, 06150 La Bocca, France  b  Laboratoire des Sciences du Climat et de l’Environnement, LSCE/IPSL, CEA-CNRS-UVSQ, Université Paris-Saclay,  91198 Gif-sur-Yvette, France  c European Commission Joint Research Centre, Ispra (Va), Italy  ;;;;non;;;;;;;;;967;0;Réalisé;1
564;S008-3;3;S008;Communication;Compact Static Interferometer Instrument Studies for Greenhouse Gas Detection;;;ICSO;17/10/2022;21/10/2022;Dubrovnik;Croatie;;;;;;;;;;;;;Flavio Mariani a , Denis Simeoni b , Vitalii Khodnevych c , Nicolas Tetaz b , Bruno Chetrite b , Mikael Carlavan b , Stephane Ferron d , Jean-Luc Vergely d , Nick van der Valk e , Hedser van Brug e , Benjamin Brenny e , Huib Visser e , Jochen Landgraf f ,;aESA-ESTEC, Keplerlaan 1, 2200AG, Noordwijk, The Netherlands bThales Alenia Space, All´ee des gabians 5, 06156, Cannes, France c IRT Saint Exup´ery, Rue Evariste Galois 240, 06410, Biot, France dACRI-ST, Rte du Pin Montard 260, 06904, Sophia-Antipolis, Fr;;;;non;;;;;;;;;967;0;Réalisé;1
565;A026-7;7;A026;Communication;Corrosion à haute température de l’alliage Ni625 élaboré par Laser Metal Deposition - Powder;;;Journées d’étude de la cinétique hétérogène;30/03/2023;31/03/2023;Nancy;France;https://jech53.event.univ-lorraine.fr/;;;;;;;;06/03/2023;21/03/2023;16/03/2023;;Agathe Curnis (1)(2) – Aurélien Prillieux (1) – Ioana Popa (2) – Sébastien Chevalier (2);(1) Institut de Recherche Technologique (IRT) Saint Exupéry, 3 rue Tarfaya, 31400 Toulouse, France, (2) ICB, UMR 6303 CNRS, Univ. Bourgogne Franche-Comté, 21078 Dijon Cedex;;;;;;;;;;;;;804;1;Annulé;1
567;S085-12;12;S085;Article journal;Toward an Operations-Dedicated Model for Space Systems ;;;;;;;;;Journal of Aerospace Information Systems (JAIS) ;17/03/2023;;https://arc.aiaa.org/doi/10.2514/1.I011093;2023;;;;;;;Nikolena Christofi, Xavier Pucel, Claude Baron, Marc Pantel, Christophe Ducamp;;;;;;;;;;;;;;1130;0;Réalisé;1
568;S085-13;13;S085;Communication; Introducing Operational Diagnosis Models for Ground Station Architectures using Behaviour Trees, ;;;SpaceOps 2023;;;DUBAI;;;;;;;;;;;;;;Nikolena Christofi, Xavier Pucel, Claude Baron, Marc Pantel, David Canu, Jerome Golenzer, Christophe Ducamp;;;;;oui;;;;;;;;;1130;0;Réalisé;1
569;A064-2;2;A064;Communication;Precise estimation of dynamic junction temperature of SiC transistors for lifetime prediction of power modules used in three-phase inverters;;;ESREF 2023;02/10/2023;05/10/2023;Toulouse;France;https://esref2023.sciencesconf.org/;;;;;;;;17/03/2023;28/04/2023;02/06/2023;;Alice TEIXEIRA1,2, Bernardo COUGO1, Gilles SEGOND1, Lenin M. F. MORAIS3, Marco ANDRADE1,2, Duc Hoan TRAN1;"	 	1 IRT Saint Exupéry, Toulouse, France 	2 Graduate Program in Electrical Engineering, Federal University of Minas Gerais (UFMG), Brazil 3 Department of Electronic Engineering, Federal University of Minas (UFMG), Brazil";;;;;;;;;;;;;46;0;Réalisé;1
570;E039-42;42;E039;Communication;COMPARISON OF SIC AND GAN CONVERTERS FOR POWER DRIVE SYSTEMS IN AIRCRAFT APPLICATIONS;;;R3ASC'23;25/09/2023;27/09/2023;Toulouse;France;https://r3asc23.sciencesconf.org/;;;;;;;;04/04/2023;21/04/2023;08/07/2023;;COUGO Bernardo, HOFFMANN SATHLER Hans, TRAN Duc-Hoan, SEGOND Gilles;IRT Saint-Exupery;;;;non;;;;;;;;;46;0;Réalisé;1
576;S038-42;42;S038;Communication;Embedded cloud segmentation using AI : Back on years of experiments in orbit on OPS-SAT;;;European Data Handling & Data Processing Conference (EDHPC 2023);02/10/2023;06/10/2023;Juan-les-Pins;;https://atpi.eventsair.com/edhpc-conference/;;;;;;;;;;;;Erwann Kervennic , Yves Bobichon, Michael Benguigui, Ingrid Grenet, Nicolas Avaro, Frédéric Férésin, Thomas Louis, Adrien Girard.;IRT Saint Exupéry, Activeeon, MyDataModels, ELSYS Design, Université Côte d'Azur.;;;;non;;;;;;;;;829;0;Réalisé;1
580;S001-11;11;S001;Communication;Sesigning reliable configuration for TSN synchronization on automotive networks;;;2023 IEEE SA Ethernet & IP @ Automotive Technology Day (E&IP@ATD) ;19/09/2023;20/09/2023;São Paulo;Brazil;https://standards.ieee.org/events/automotive/;;;;;;;;11/05/2023;;31/07/2023;;Quentin Bailleul, Katia Jaffrès-Runser, Jean-Luc Scharbarg, Philippe Cuenot;IRT, IRIT, IRIT IRT;;;;;;;;;;;;;84;1;Annulé;1
584;M015-8;8;M015;Communication;In situ detection of contaminants during laser surface preparation of metal surfaces;;;AJP 2023 (3RD INTERNATIONAL CONFERENCE ON ADVANCED JOINING PROCESSES);19/10/2023;20/10/2023;Braga;Portugal;https://web.fe.up.pt/~ajp2023/;;;;;;;;02/06/2023;;;;S Kirchner1, J Lecomte1, L Ferres1, T Balutch2, C Debras1,3, M Péron1,4, N Cuvillier1,5;1IRT Saint Exupéry, Esplanade des Arts et Métiers, 33405 Talence, France. 2Naval Group – CESMAN, 5 rue de l’Halbrane, 44340 Bouguenais, France. 3Thales Alenia Space, 5 allée des Gabians, 06156 Cannes La Bocca, France 4ArianeGroup, Les cinq chemins, rue du;;;;;;;;;;;;;381;1;Réalisé;1
587;V075-28;28;V075;Communication;DP-SGD Without Clipping: The Lipschitz Neural Network Way;;;ICLR;06/05/2024;10/05/2024;Vienna;Austria;https://iclr.cc/;;;;;;;;28/09/2023;30/11/2023;24/11/2023;; Bethune Louis (1), Massena Thomas (2) Boissin Thibaut (2) Bellet Aur\'elien (3), Corentin Friedrich (2), Yannick Prudent (2),  Vigouroux David (2) Mamalet Franck (2) , Mathieu Serrurier (1);(1) IRIT (2) IRT Saint Exupery (3) Inria;;;;non;;;;;;;;;617;1;Réalisé;1
590;S001-12;12;S001;Communication;Worst-case synchronization precision of IEEE802.1AS;;;ETFA 2023;12/09/2023;15/09/2023;Sinaia;Roumanie;https://2023.ieee-etfa.org/;;;;;;;;05/05/2023;09/06/2023;21/07/2023;;Quentin Bailleul, Katia Runses-Jauffres, Jean-Luc Sharbarch, Philippe Cuenot;IRT, IRIT, IRIT, IRT;;;;non;;;;;;;;;84;0;Réalisé;1
593;S016-1;1;S016;Communication;Successive Convexification for on-board scheduling of Spacecraft Rendezvous Missions;;;ESA-GNC (European Space Agency – Guidance, Navigation, and Control);12/06/2023;16/06/2023;Sopot;Pologne;https://atpi.eventsair.com/gnc2023/;;;;;;;;20/01/2023;;29/05/2023;;Thomas Claudet(1, 2), Jeremie Labroquiere(3), Damiana Losa(2, 4), Francesco Sanfedino(1), Daniel Alazard(1);(1) ISAE-SUPAERO, Toulouse, 31400, France, {thomas.claudet, francesco.sanfedino, daniel.alazard}@isae-supaero.fr (2) IRT Saint-Exup´ery, 3 Rue Tarfaya, 31400, Toulouse, France, {thomas.claudet, damiana.losa}@irt-saintexupery.com (3) Thales Alenia Space, 2;;;;;;;;;;;;;801;1;Réalisé;1
595;E086-6;6;E086;Communication;ÉVOLUTIONS DES PROPRIÉTÉS ÉLECTRIQUES DU PFA LORS D’UN VIEILLISSEMENT THERMIQUE ACCÉLÉRÉ : ÉTUDE DE LA RELATION STRUCTURE PROPRIÉTÉS PAR SPECTROSCOPIE DIÉLECTRIQUE DYNAMIQUE.;;;GDR REEPOS;12/06/2023;13/06/2023;TOULOUSE;France;https://www.cirimat.cnrs.fr/spip.php?article1148;;;;;;;;26/05/2023;;;;Victor HENRI, Pierre HENRARD, Eric DANTRAS;IRT, IRT, CIRIMAT;;;;;;;;;;;;;788;1;Réalisé;1
596;V075-29;29;V075;Communication;Making Sense of Dependence: Efficient Black-box Explanations Using Dependence Measure;;;NeurIPS;28/11/2022;04/12/2022;Nouvelle Orléans;US;;;;;;;;;;;;;Paul Novello, Thomas Fel, David Vigouroux;;;;;;;;;;;;;;1149;0;Réalisé;1
